,spot_name,spot_id
0,Ownahincha,61418593f20970d598c3f741
1,Long Strand,61418127fe354cbd511ac095
2,Red Strand,61418523cdf10f02b95334fe
3,Inchydoney,6051082f384cc5c8017a8b37
4,Howes Strand,6141881029cfc69f69a2e141
5,Garretstown,6050f5647b3cec1bd454bd5d
6,Inch Beach,614188b78bf6a05fba5a870c
7,Whiting Bay,60947b58c542fc313a9e1d0c
8,Clonea Strand,61418945aff3241d6d00b2ae
9,Bunmahon,614181d3ede88132abe578df
10,Kilmurren,61418338f209704fc1c3f73b
11,Annestown Bay,61418244fe354c5d2e1ac09b
12,The Perfect Wave,614183c2e134936e2d0b21dc
13,Tramore Strand,6050f3b218c05acdb627bc50
14,Incredible Wave,61418450fe354c84291ac0a1
15,Curracloe,61418759f2097048c7c3f747
16,Poppit Sands,61415a5d7e2c87a9ff7cd87f
17,Newport,61ba71f91679e22f5b43a038
18,Abereiddy,614159bc1b36d7df287ffd59
19,Newgale,584204204e65fad6a77090cf
20,Whitesands,584204204e65fad6a77090ce
21,Broadhaven,584204204e65fad6a77090d1
22,Marloes Sands,61415ac3cc95b11dd5e6d391
23,Westdale,61415b3bb02b235f1f0ece24
24,Freshwater West,5842041f4e65fad6a7708cb2
25,Broadhaven South,61bd02888a3f740daa70d2e3
26,Freshwater East,61415c451b36d771057ffd5f
27,Manorbier,584204204e65fad6a77090d0
28,South Beach (Tenby),584204204e65fad6a77090d7
29,Saundersfoot,61c1314024dd6c2caba7e157
30,Wiseman's Bridge,61c130b6903b351d8e51dc02
31,Pendine,61415b8de134930c4d0b21cb
32,Pembrey,61ba757ea052da324f8574dd
33,Llangennith,5842041f4e65fad6a7708cb3
34,Rhossili,6141586741bea2acecd27ca4
35,Port Eynon Bay,61bd040a7795232d172f2a15
36,Oxwich Bay,614158c31b36d713ca7ffd53
37,Three Cliffs,6141591341bea23952d27caa
38,Hunts Bay,614157ed39f5254acca927a7
39,Caswell Bay,584204204e65fad6a77090d3
40,Langland Bay,5842041f4e65fad6a7708cb4
41,Swansea Beach,61bd05c086787d0579b78b2a
42,Aberavon,5842041f4e65fad6a7708cb0
43,Sker,61ba802565d127243ea63520
44,Rest Bay,584204204e65fad6a77090d2
45,Coney Beach,5a2f01963795dd001a9e3cb5
46,Trecco Bay,61ba7e94a052da4ccb874c5b
47,Ogmore Beach,614155b341bea28163d27c99
48,Southerndown,584204204e65fad6a77090d4
49,The Knap,61ba7d5865d1274891a5a583
50,Whitmore Bay,6141565ca1254132fb613ad1
51,Jackson's Bay,614156d797280c6fe2809257
52,Penarth,614157401875f76b1a7f0c7d
53,Lyme Regis,584204214e65fad6a7709d17
54,Charmouth,61c127d49cbe7110bcf41f42
55,Seatown,61c1287eda2e04bb0d52a662
56,West Bay,613bc998dab50d4dc21718ff
57,Hive Beach,61c1293f24dd6c2177a652d9
58,Cogden,61c12a1324dd6c06a1a67e43
59,West Bexington,61c12ac6903b350a9950b739
60,Chesil Beach,61395958f13494014ef4a178
61,Weymouth,613ba478f7cc210917c128d9
62,Bowleaze Cove,613ba295bf39c83c40ee3c6e
63,Portland Harbour,613bcac9bf39c8220cee3c74
64,The Bill,613a74e21b7d1f6726589a77
65,Ringstead Bay,630d4437b0a14553709f34f2
66,Durdle Door,613ba1cdfe976c52bf4cb5f1
67,Lulworth Cove,613ba11d970cafe0f13833ea
68,Kimmeridge Bay,5842041f4e65fad6a7708e1f
69,Swanage,61395abb84ce2eb3d50066c8
70,Sandbanks Beach,61c12bce3883916d0d0e850d
71,Poole,613ba802915e7bdc051825e4
72,Branksome Dene Chine,613bcbad5c02790ed0d5aedf
73,Bournemouth,584204214e65fad6a7709cf4
74,Boscombe,584204214e65fad6a7709cee
75,Southbourne,613950465f0d00288cf60f6b
76,Mudeford Harbour,613a73bdd66c4039f3633bcc
77,Avon Beach,613bc8e0c060e01a55d9ebd6
78,Highcliffe,604a75d1d397152373ccb0d8
79,Barton on Sea,61c12d2dda2e0434ec5395c2
80,Hordle Cliff,613bea0836d51135b86b38bf
81,Milford on Sea,613ba68936d5112d6d6b38b3
82,Freshwater,613bd038d55308fca08054cf
83,Compton,5ad50d3e8e6264001ab2d694
84,Ventnor,5ad532add6448d001c8bd51c
85,Sandown,5ad50c41156dd5001a270d42
86,Wembury,584204204e65fad6a77090c6
87,Mothecombe,61c121aa903b3509bf4eda0b
88,Challaborough,584204204e65fad6a77090c7
89,Bigbury,604bc5c5ab677d2dddb8cb82
90,Bantham,584204204e65fad6a77090c9
91,Thurlestone,61c122dbda2e04967d517eaa
92,Hope Cove,61c6152018c0463275406e95
93,Slapton Sands,6138fe50253aa7e580d8997b
